Train Loss: 50.633694381713866 | Epochs: 1 | Steps: 100
Train Loss: 40.5884192276001 | Epochs: 1 | Steps: 200
Train Loss: 36.0325869178772 | Epochs: 1 | Steps: 300
Train Loss: 35.75130403518677 | Epochs: 1 | Steps: 400
Train Loss: 29.223251571655272 | Epochs: 1 | Steps: 500
Train Loss: 29.139070491790772 | Epochs: 1 | Steps: 600
Train Loss: 25.74964096069336 | Epochs: 1 | Steps: 700
Train Loss: 24.471398391723632 | Epochs: 1 | Steps: 800
Train Loss: 27.71746723175049 | Epochs: 1 | Steps: 900
Train Loss: 23.172114543914795 | Epochs: 1 | Steps: 1000
Train Loss: 22.49292356491089 | Epochs: 1 | Steps: 1100
Train Loss: 23.709733219146727 | Epochs: 1 | Steps: 1200
Train Loss: 20.841210832595824 | Epochs: 1 | Steps: 1300
Train Loss: 20.244135046005248 | Epochs: 1 | Steps: 1400
Train Loss: 20.336786489486695 | Epochs: 1 | Steps: 1500
Train Loss: 17.128733348846435 | Epochs: 1 | Steps: 1600
Train Loss: 20.268633613586427 | Epochs: 1 | Steps: 1700
Train Loss: 23.478945808410643 | Epochs: 1 | Steps: 1800
Train Loss: 19.64995457649231 | Epochs: 1 | Steps: 1900
Train Loss: 22.634244117736817 | Epochs: 1 | Steps: 2000
Train Loss: 19.556080265045168 | Epochs: 1 | Steps: 2100
Train Loss: 17.19438306808472 | Epochs: 1 | Steps: 2200
Train Loss: 22.01847583770752 | Epochs: 1 | Steps: 2300
Train Loss: 19.17477891921997 | Epochs: 1 | Steps: 2400
Train Loss: 20.415760679244997 | Epochs: 1 | Steps: 2500
Train Loss: 20.475758142471314 | Epochs: 1 | Steps: 2600
Train Loss: 17.839832220077515 | Epochs: 1 | Steps: 2700
Train Loss: 18.396370010375975 | Epochs: 1 | Steps: 2800
Train Loss: 16.613427238464354 | Epochs: 1 | Steps: 2900
Train Loss: 16.33456144332886 | Epochs: 1 | Steps: 3000
Train Loss: 15.782268085479735 | Epochs: 1 | Steps: 3100
Train Loss: 16.249287881851195 | Epochs: 1 | Steps: 3200
Train Loss: 16.429933528900147 | Epochs: 1 | Steps: 3300
Train Loss: 16.533715377134435 | Epochs: 2 | Steps: 3470
Train Loss: 14.982893686294556 | Epochs: 2 | Steps: 3570
Train Loss: 14.350916528701783 | Epochs: 2 | Steps: 3670
Train Loss: 15.362270927429199 | Epochs: 2 | Steps: 3770
Train Loss: 13.405602531433106 | Epochs: 2 | Steps: 3870
Train Loss: 13.532532224655151 | Epochs: 2 | Steps: 3970
Train Loss: 12.61336311340332 | Epochs: 2 | Steps: 4070
Train Loss: 12.620556530952454 | Epochs: 2 | Steps: 4170
Train Loss: 13.976643333435058 | Epochs: 2 | Steps: 4270
Train Loss: 13.034803109169006 | Epochs: 2 | Steps: 4370
Train Loss: 13.339218807220458 | Epochs: 2 | Steps: 4470
Train Loss: 13.209836511611938 | Epochs: 2 | Steps: 4570
Train Loss: 12.343484687805176 | Epochs: 2 | Steps: 4670
Train Loss: 12.240252618789674 | Epochs: 2 | Steps: 4770
Train Loss: 12.447793455123902 | Epochs: 2 | Steps: 4870
Train Loss: 10.955240683555603 | Epochs: 2 | Steps: 4970
Train Loss: 12.557185401916504 | Epochs: 2 | Steps: 5070
Train Loss: 14.02643982887268 | Epochs: 2 | Steps: 5170
Train Loss: 12.714651794433594 | Epochs: 2 | Steps: 5270
Train Loss: 13.21009162902832 | Epochs: 2 | Steps: 5370
Train Loss: 12.343164749145508 | Epochs: 2 | Steps: 5470
Train Loss: 11.748765268325805 | Epochs: 2 | Steps: 5570
Train Loss: 14.27706548690796 | Epochs: 2 | Steps: 5670
Train Loss: 13.153951959609985 | Epochs: 2 | Steps: 5770
Train Loss: 13.955025901794434 | Epochs: 2 | Steps: 5870
Train Loss: 14.196749362945557 | Epochs: 2 | Steps: 5970
Train Loss: 13.032470655441283 | Epochs: 2 | Steps: 6070
Train Loss: 13.387115058898926 | Epochs: 2 | Steps: 6170
Train Loss: 12.298161973953247 | Epochs: 2 | Steps: 6270
Train Loss: 12.39903211593628 | Epochs: 2 | Steps: 6370
Train Loss: 11.978170232772827 | Epochs: 2 | Steps: 6470
Train Loss: 12.552940673828125 | Epochs: 2 | Steps: 6570
Train Loss: 12.857711200714112 | Epochs: 2 | Steps: 6670
Train Loss: 12.864700552996467 | Epochs: 3 | Steps: 6840
Train Loss: 11.828578834533692 | Epochs: 3 | Steps: 6940
Train Loss: 11.653288764953613 | Epochs: 3 | Steps: 7040
Train Loss: 12.228219003677369 | Epochs: 3 | Steps: 7140
Train Loss: 11.021150550842286 | Epochs: 3 | Steps: 7240
Train Loss: 11.090810327529907 | Epochs: 3 | Steps: 7340
Train Loss: 10.567795820236206 | Epochs: 3 | Steps: 7440
Train Loss: 10.477752418518067 | Epochs: 3 | Steps: 7540
Train Loss: 11.615897083282471 | Epochs: 3 | Steps: 7640
Train Loss: 10.97589674949646 | Epochs: 3 | Steps: 7740
Train Loss: 11.252156057357787 | Epochs: 3 | Steps: 7840
Train Loss: 11.215615983009338 | Epochs: 3 | Steps: 7940
Train Loss: 10.715422406196595 | Epochs: 3 | Steps: 8040
Train Loss: 10.46226026058197 | Epochs: 3 | Steps: 8140
Train Loss: 10.758886427879334 | Epochs: 3 | Steps: 8240
Train Loss: 9.756697936058044 | Epochs: 3 | Steps: 8340
Train Loss: 10.831685113906861 | Epochs: 3 | Steps: 8440
Train Loss: 12.199561166763306 | Epochs: 3 | Steps: 8540
Train Loss: 11.357228727340699 | Epochs: 3 | Steps: 8640
Train Loss: 11.487280254364014 | Epochs: 3 | Steps: 8740
Train Loss: 11.113008713722229 | Epochs: 3 | Steps: 8840
Train Loss: 10.63998498916626 | Epochs: 3 | Steps: 8940
Train Loss: 12.36960684776306 | Epochs: 3 | Steps: 9040
Train Loss: 12.060804691314697 | Epochs: 3 | Steps: 9140
Train Loss: 12.557324771881104 | Epochs: 3 | Steps: 9240
Train Loss: 12.915046548843383 | Epochs: 3 | Steps: 9340
Train Loss: 12.186173171997071 | Epochs: 3 | Steps: 9440
Train Loss: 12.137006225585937 | Epochs: 3 | Steps: 9540
Train Loss: 11.065744409561157 | Epochs: 3 | Steps: 9640
Train Loss: 11.37657127380371 | Epochs: 3 | Steps: 9740
Train Loss: 11.084300832748413 | Epochs: 3 | Steps: 9840
Train Loss: 11.437391519546509 | Epochs: 3 | Steps: 9940
